PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$,own% ownership
Patrick Mahomes,QB,KC,CIN,-258,47.5,-6,26.75,7000,22.25,3.2,35.4,4.1,0,4.1,5.6,23.19
Justin Fields,QB,PIT,DEN,-157,36.5,-3,19.75,5400,16.76,3.1,27.8,9.3,0,9.3,6.9,-
Kyler Murray,QB,ARI,LAR,-123,49.5,-1.5,25.5,6600,19.44,3,32.1,6.3,0,6.3,5.8,20.26
Trevor Lawrence,QB,JAX,CLE,-174,42,-3.5,22.75,5700,17.13,3,32.9,4.1,0,4.1,6.5,19.02
Sam Darnold,QB,MIN,SF,216,45.5,6,19.75,5200,15.35,3,34.8,2.8,0,2.8,7.2,16.64
Dak Prescott,QB,DAL,NO,-300,46,-6.5,26.25,6700,19.81,3,34.1,3.2,0,3.2,5.6,16.28
Brock Purdy,QB,SF,MIN,-268,45.5,-6,25.75,6100,18.08,3,28.6,2.3,0,2.3,5.1,15.48
Malik Willis,QB,GB,IND,145,40.5,3.5,18.5,5000,14.83,3,26.4,7.9,0,7.9,6.9,-
Joe Burrow,QB,CIN,KC,208,47.5,6,20.75,6300,18.4,2.9,37.1,3.2,0,3.2,6.4,14.41
Bo Nix,QB,DEN,PIT,132,36.5,3,16.75,5000,14.28,2.9,32.7,4.2,0,4.2,7.4,14.08
Justin Herbert,QB,LAC,CAR,-283,39,-6.5,22.75,5800,17.08,2.9,32.7,3.2,0,3.2,6.2,11.34
Matthew Stafford,QB,LAR,ARI,103,49.5,1.5,24,6000,17.43,2.9,33.9,0.9,0,0.9,5.8,11.07
Jayden Daniels,QB,WAS,NYG,-126,44,-1.5,22.75,6200,18.15,2.9,29.1,7.9,0,7.9,6,11.07
Jared Goff,QB,DET,TB,-332,51.5,-7,29.25,6400,18.18,2.8,33.6,1.5,0,1.5,5.5,10.85
Anthony Richardson,QB,IND,GB,-175,40.5,-3.5,22,6800,18.98,2.8,28.1,10,0,10,5.6,10.49
Lamar Jackson,QB,BAL,LV,-468,41.5,-9.5,25.5,7700,21.94,2.8,27.8,9.5,0,9.5,4.8,9.91
Green Bay Packers,D,GB,IND,145,40.5,3.5,18.5,2600,7.19,2.8,0,0,0,0,0,9.86
Baker Mayfield,QB,TB,DET,261,51.5,7,22.25,5900,16.67,2.8,34.8,3.2,0,3.2,6.4,9.69
Daniel Jones,QB,NYG,WAS,106,44,1.5,21.25,5300,14.78,2.8,29.9,4.9,0,4.9,6.6,-
Geno Smith,QB,SEA,NE,-180,38,-3.5,20.75,5500,15.24,2.8,31.9,2.1,0,2.1,6.2,9.45
Aaron Rodgers,QB,NYJ,TEN,-186,41,-3.5,22.25,5900,15.74,2.7,32.1,1.9,0,1.9,5.8,9.39
Deshaun Watson,QB,CLE,JAX,145,42,3.5,19.25,5600,14.87,2.7,28.9,4.5,0,4.5,6,9.21
Will Levis,QB,TEN,NYJ,153,41,3.5,18.75,5200,14.01,2.7,32.4,2.8,0,2.8,6.8,9.13
Denver Broncos,D,DEN,PIT,132,36.5,3,16.75,2800,7.19,2.6,0,0,0,0,0,8.9
Seattle Seahawks,D,SEA,NE,-180,38,-3.5,20.75,3000,7.64,2.6,0,0,0,0,0,8.21
Colby Parkinson,TE,LAR,ARI,103,49.5,1.5,24,3100,7.9,2.6,0,0,4.4,4.4,1.4,7.88
Demarcus Robinson,WR,LAR,ARI,103,49.5,1.5,24,4000,10.33,2.6,0,0.1,5.9,6,1.5,7.83
Derek Carr,QB,NO,DAL,238,46,6.5,19.75,5300,13.5,2.6,32.7,1.8,0,1.8,6.5,7.7
Jacoby Brissett,QB,NE,SEA,149,38,3.5,17.25,5000,12.83,2.6,30.4,2.7,0,2.7,6.6,7.69
Jacksonville Jaguars,D,JAX,CLE,-174,42,-3.5,22.75,3100,7.58,2.5,0,0,0,0,0,7.55
Los Angeles Chargers,D,LAC,CAR,-283,39,-6.5,22.75,3400,8.35,2.5,0,0,0,0,0,7.41
Gardner Minshew,QB,LV,BAL,358,41.5,9.5,16,5100,12.8,2.5,32.5,1.8,0,1.8,6.7,7.34
Carolina Panthers,D,CAR,LAC,228,39,6.5,16.25,2300,5.81,2.5,0,0,0,0,0,7.25
Breece Hall,RB,NYJ,TEN,-186,41,-3.5,22.25,7400,18.6,2.5,0,16.9,4.7,21.6,2.9,7.22
Bryce Young,QB,CAR,LAC,228,39,6.5,16.25,5100,12.54,2.5,30.9,2.9,0,2.9,6.6,7.21
Arizona Cardinals,D,ARI,LAR,-123,49.5,-1.5,25.5,2300,5.63,2.5,0,0,0,0,0,7.15
Cooper Kupp,WR,LAR,ARI,103,49.5,1.5,24,7600,18.74,2.5,0,0.3,10.1,10.4,1.4,7.07
Jahmyr Gibbs,RB,DET,TB,-332,51.5,-7,29.25,6600,16.01,2.4,0,11.7,4.1,15.8,2.4,7.04
New Orleans Saints,D,NO,DAL,238,46,6.5,19.75,2400,5.77,2.4,0,0,0,0,0,6.84
Kyren Williams,RB,LAR,ARI,103,49.5,1.5,24,6800,16.33,2.4,0,16.1,3.3,19.4,2.9,-
Mark Andrews,TE,BAL,LV,-468,41.5,-9.5,25.5,5000,11.88,2.4,0,0,5.9,5.9,1.2,6.64
Wan'Dale Robinson,WR,NYG,WAS,106,44,1.5,21.25,4300,10.25,2.4,0,0.7,6.3,7,1.6,6.37
Jerome Ford,RB,CLE,JAX,145,42,3.5,19.25,5900,13.68,2.3,0,14,4.1,18.1,3.1,6.26
New York Giants,D,NYG,WAS,106,44,1.5,21.25,2700,6.09,2.3,0,0,0,0,0,6.22
Garrett Wilson,WR,NYJ,TEN,-186,41,-3.5,22.25,7100,16.05,2.3,0,0.3,8.9,9.2,1.3,6.12
Baltimore Ravens,D,BAL,LV,-468,41.5,-9.5,25.5,3700,8.57,2.3,0,0,0,0,0,6.11
